Gene_names,GO_IDs,GO_terms
EAT1,GO:0005739,mitochondrion
EAT1,GO:0016740,transferase activity
ATG5,GO:0006914,autophagy
ATG5,GO:0015031,protein transport
ATG5,GO:0034045,phagophore assembly site membrane
HAM1,GO:0000166,nucleotide binding
HAM1,GO:0005634,nucleus
HAM1,GO:0005737,cytoplasm
HAM1,GO:0009117,nucleotide metabolic process
HAM1,GO:0009204,deoxyribonucleoside triphosphate catabolic process
HAM1,GO:0035870,dITP diphosphatase activity
HAM1,GO:0036220,ITP diphosphatase activity
HAM1,GO:0036222,XTP diphosphatase activity
HAM1,GO:0046872,metal ion binding
ATG7,GO:0000407,phagophore assembly site
ATG7,GO:0006914,autophagy
ATG7,GO:0008641,ubiquitin-like modifier activating enzyme activity
ATG7,GO:0015031,protein transport
ATG13,GO:0000045,autophagosome assembly
ATG13,GO:0000407,phagophore assembly site
ATG13,GO:0015031,protein transport
ATG13,GO:1990316,Atg1/ULK1 kinase complex
PSD1,GO:0004609,phosphatidylserine decarboxylase activity
PSD1,GO:0005743,mitochondrial inner membrane
PSD1,GO:0006646,phosphatidylethanolamine biosynthetic process
PSD1,GO:0016540,protein autoprocessing
PIF1,GO:0000002,mitochondrial genome maintenance
PIF1,GO:0000723,telomere maintenance
PIF1,GO:0005524,ATP binding
PIF1,GO:0005634,nucleus
PIF1,GO:0005739,mitochondrion
PIF1,GO:0006281,DNA repair
PIF1,GO:0006310,DNA recombination
PIF1,GO:0010521,telomerase inhibitor activity
PIF1,GO:0016887,ATP hydrolysis activity
PIF1,GO:0032211,negative regulation of telomere maintenance via telomerase
PIF1,GO:0043139,5'-3' DNA helicase activity
PIF1,GO:0051880,G-quadruplex DNA binding
PSD2,GO:0000139,Golgi membrane
PSD2,GO:0004609,phosphatidylserine decarboxylase activity
PSD2,GO:0005795,Golgi stack
PSD2,GO:0006646,phosphatidylethanolamine biosynthetic process
PSD2,GO:0010008,endosome membrane
PSD2,GO:0016540,protein autoprocessing
ATG4,GO:0000407,phagophore assembly site
ATG4,GO:0005634,nucleus
ATG4,GO:0006508,proteolysis
ATG4,GO:0006914,autophagy
ATG4,GO:0015031,protein transport
ATG4,GO:0019786,Atg8-specific peptidase activity
ATG10,GO:0006914,autophagy
ATG10,GO:0015031,protein transport
ATG10,GO:0019787,ubiquitin-like protein transferase activity
ATG10,GO:0034045,phagophore assembly site membrane
ATG8,GO:0000421,autophagosome membrane
ATG8,GO:0006914,autophagy
ATG8,GO:0015031,protein transport
ATG8,GO:0033110,Cvt vesicle membrane
ATG9,GO:0000139,Golgi membrane
ATG9,GO:0005789,endoplasmic reticulum membrane
ATG9,GO:0006869,lipid transport
ATG9,GO:0006914,autophagy
ATG9,GO:0030659,cytoplasmic vesicle membrane
ATG9,GO:0034045,phagophore assembly site membrane
sfa1,GO:0004022,alcohol dehydrogenase (NAD+) activity
sfa1,GO:0006069,ethanol oxidation
sfa1,GO:0008270,zinc ion binding
sfa1,GO:0106321,S-(hydroxymethyl)glutathione dehydrogenase NADP activity
sfa1,GO:0106322,S-(hydroxymethyl)glutathione dehydrogenase NAD activity
GAPDH,GO:0004365,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GAPDH,GO:0005829,cytosol
GAPDH,GO:0006006,glucose metabolic process
GAPDH,GO:0006096,glycolytic process
GAPDH,GO:0030312,external encapsulating structure
GAPDH,GO:0050661,NADP binding
GAPDH,GO:0051287,NAD binding
HOG1,GO:0004707,MAP kinase activity
HOG1,GO:0005524,ATP binding
HOG1,GO:0005634,nucleus
HOG1,GO:0006468,protein phosphorylation
HOG1,GO:0051403,stress-activated MAPK cascade
HOG1,GO:0106310,protein serine kinase activity
PDC1,GO:0000287,magnesium ion binding
PDC1,GO:0004737,pyruvate decarboxylase activity
PDC1,GO:0030976,thiamine pyrophosphate binding
ABF1,GO:0003677,DNA binding
ABF1,GO:0005634,nucleus
ABF1,GO:0006260,DNA replication
ABF1,GO:0006281,DNA repair
ABF1,GO:0006338,chromatin remodeling
LEU2,GO:0000287,magnesium ion binding
LEU2,GO:0003862,3-isopropylmalate dehydrogenase activity
LEU2,GO:0005737,cytoplasm
LEU2,GO:0009098,leucine biosynthetic process
LEU2,GO:0051287,NAD binding
SSB1,GO:0005524,ATP binding
SSB1,GO:0005737,cytoplasm
SSB1,GO:0006412,translation
SSB1,GO:0016887,ATP hydrolysis activity
SSB1,GO:0140662,ATP-dependent protein folding chaperone
MIG1,GO:0003677,DNA binding
MIG1,GO:0005634,nucleus
MIG1,GO:0005975,carbohydrate metabolic process
MIG1,GO:0046872,metal ion binding
GAP1,GO:0004365,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GAP1,GO:0005829,cytosol
GAP1,GO:0006006,glucose metabolic process
GAP1,GO:0006096,glycolytic process
GAP1,GO:0030312,external encapsulating structure
GAP1,GO:0050661,NADP binding
GAP1,GO:0051287,NAD binding
GAP3,GO:0004365,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GAP3,GO:0005829,cytosol
GAP3,GO:0006006,glucose metabolic process
GAP3,GO:0006096,glycolytic process
GAP3,GO:0030312,external encapsulating structure
GAP3,GO:0050661,NADP binding
GAP3,GO:0051287,NAD binding
GAP2,GO:0004365,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GAP2,GO:0005829,cytosol
GAP2,GO:0006006,glucose metabolic process
GAP2,GO:0006096,glycolytic process
GAP2,GO:0030312,external encapsulating structure
GAP2,GO:0050661,NADP binding
GAP2,GO:0051287,NAD binding
ADH1,GO:0004022,alcohol dehydrogenase (NAD+) activity
ADH1,GO:0005737,cytoplasm
ADH1,GO:0008270,zinc ion binding
CSE4,GO:0000775,"chromosome, centromeric region"
CSE4,GO:0000786,nucleosome
CSE4,GO:0003677,DNA binding
CSE4,GO:0005634,nucleus
CSE4,GO:0030527,structural constituent of chromatin
CSE4,GO:0046982,protein heterodimerization activity
URA9,GO:0005743,mitochondrial inner membrane
URA9,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process
URA9,GO:0044205,'de novo' UMP biosynthetic process
URA9,GO:0106430,dihydroorotate dehydrogenase (quinone) activity
TPI1,GO:0004807,triose-phosphate isomerase activity
TPI1,GO:0006094,gluconeogenesis
TPI1,GO:0006096,glycolytic process
QOR,GO:0005739,mitochondrion
QOR,GO:0008753,NADPH dehydrogenase (quinone) activity
QOR,GO:0050136,NADH dehydrogenase (quinone) activity
pol,GO:0003723,RNA binding
pol,GO:0003887,DNA-directed DNA polymerase activity
pol,GO:0003964,RNA-directed DNA polymerase activity
pol,GO:0004523,RNA-DNA hybrid ribonuclease activity
pol,GO:0005634,nucleus
pol,GO:0005737,cytoplasm
pol,GO:0015074,DNA integration
pol,GO:0032196,transposition
RIB7,GO:0008703,5-amino-6-(5-phosphoribosylamino)uracil reductase activity
RIB7,GO:0009231,riboflavin biosynthetic process
RIB7,GO:0050661,NADP binding
ADH2,GO:0004022,alcohol dehydrogenase (NAD+) activity
ADH2,GO:0005737,cytoplasm
ADH2,GO:0008270,zinc ion binding
HIS4,GO:0000105,histidine biosynthetic process
HIS4,GO:0004399,histidinol dehydrogenase activity
HIS4,GO:0004635,phosphoribosyl-AMP cyclohydrolase activity
HIS4,GO:0004636,phosphoribosyl-ATP diphosphatase activity
HIS4,GO:0005524,ATP binding
HIS4,GO:0046872,metal ion binding
HIS4,GO:0051287,NAD binding
COQ6,GO:0006744,ubiquinone biosynthetic process
COQ6,GO:0008681,2-octaprenyl-6-methoxyphenol hydroxylase activity
COQ6,GO:0016709,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"
COQ6,GO:0031314,extrinsic component of mitochondrial inner membrane
COQ6,GO:0071949,FAD binding
COQ6,GO:0106364,4-hydroxy-3-all-trans-hexaprenylbenzoate oxygenase activity
PYC2,GO:0004736,pyruvate carboxylase activity
PYC2,GO:0005524,ATP binding
PYC2,GO:0005737,cytoplasm
PYC2,GO:0006090,pyruvate metabolic process
PYC2,GO:0006094,gluconeogenesis
PYC2,GO:0046872,metal ion binding
ATG31,GO:0000407,phagophore assembly site
ATG31,GO:0006914,autophagy
ATG31,GO:0015031,protein transport
DNA2,GO:0003677,DNA binding
DNA2,GO:0005524,ATP binding
DNA2,GO:0005634,nucleus
DNA2,GO:0005694,chromosome
DNA2,GO:0006281,DNA repair
DNA2,GO:0016887,ATP hydrolysis activity
DNA2,GO:0017108,5'-flap endonuclease activity
DNA2,GO:0017116,single-stranded DNA helicase activity
DNA2,GO:0033567,"DNA replication, Okazaki fragment processing"
DNA2,GO:0046872,metal ion binding
DNA2,GO:0051539,"4 iron, 4 sulfur cluster binding"
TY2B-GR2,GO:0003723,RNA binding
TY2B-GR2,GO:0003887,DNA-directed DNA polymerase activity
TY2B-GR2,GO:0003964,RNA-directed DNA polymerase activity
TY2B-GR2,GO:0004523,RNA-DNA hybrid ribonuclease activity
TY2B-GR2,GO:0005634,nucleus
TY2B-GR2,GO:0005737,cytoplasm
TY2B-GR2,GO:0015074,DNA integration
TY2B-GR2,GO:0032196,transposition
SPB1,GO:0000453,obsolete enzyme-directed rRNA 2'-O-methylation
SPB1,GO:0005730,nucleolus
SPB1,GO:0008650,rRNA (uridine-2'-O-)-methyltransferase activity
SPB1,GO:0030687,"preribosome, large subunit precursor"
SPB1,GO:0070039,rRNA (guanosine-2'-O-)-methyltransferase activity
TIF6,GO:0000054,ribosomal subunit export from nucleus
TIF6,GO:0003743,translation initiation factor activity
TIF6,GO:0005730,nucleolus
TIF6,GO:0005737,cytoplasm
TIF6,GO:0042256,cytosolic ribosome assembly
TIF6,GO:0042273,ribosomal large subunit biogenesis
TIF6,GO:0043022,ribosome binding
TIF6,GO:0043023,ribosomal large subunit binding
ATG17,GO:0000422,autophagy of mitochondrion
ATG17,GO:0015031,protein transport
ATG17,GO:0034045,phagophore assembly site membrane
ATG26,GO:0005975,carbohydrate metabolic process
ATG26,GO:0016020,membrane
ATG26,GO:0016126,sterol biosynthetic process
ATG26,GO:0016906,sterol 3-beta-glucosyltransferase activity
ATG26,GO:0030259,lipid glycosylation
ATG26,GO:0102202,soladodine glucosyltransferase activity
ATG26,GO:0102203,brassicasterol glucosyltransferase activity
ATG26,GO:0102205,cholesterol alpha-glucosyltransferase activity
GND1,GO:0004616,phosphogluconate dehydrogenase (decarboxylating) activity
GND1,GO:0006098,pentose-phosphate shunt
GND1,GO:0019521,D-gluconate metabolic process
GND1,GO:0050661,NADP binding
FOL1,GO:0003848,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
FOL1,GO:0004150,dihydroneopterin aldolase activity
FOL1,GO:0004156,dihydropteroate synthase activity
FOL1,GO:0005524,ATP binding
FOL1,GO:0016301,kinase activity
FOL1,GO:0016310,phosphorylation
FOL1,GO:0046654,tetrahydrofolate biosynthetic process
FOL1,GO:0046656,folic acid biosynthetic process
FOL1,GO:0046872,metal ion binding
HER2,GO:0004040,amidase activity
HER2,GO:0005524,ATP binding
HER2,GO:0005739,mitochondrion
HER2,GO:0016740,transferase activity
HER2,GO:0030956,glutamyl-tRNA(Gln) amidotransferase complex
HER2,GO:0032543,mitochondrial translation
HER2,GO:0043864,indoleacetamide hydrolase activity
HER2,GO:0050567,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
HER2,GO:0070681,glutaminyl-tRNAGln biosynthesis via transamidation
UTR4,GO:0000287,magnesium ion binding
UTR4,GO:0005634,nucleus
UTR4,GO:0005737,cytoplasm
UTR4,GO:0019284,L-methionine salvage from S-adenosylmethionine
UTR4,GO:0019509,L-methionine salvage from methylthioadenosine
UTR4,GO:0043715,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity"
UTR4,GO:0043716,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity
UTR4,GO:0043874,acireductone synthase activity
PRS5,GO:0000287,magnesium ion binding
PRS5,GO:0002189,ribose phosphate diphosphokinase complex
PRS5,GO:0004749,ribose phosphate diphosphokinase activity
PRS5,GO:0005524,ATP binding
PRS5,GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process
PRS5,GO:0009156,ribonucleoside monophosphate biosynthetic process
PRS5,GO:0009165,nucleotide biosynthetic process
PRS5,GO:0016301,kinase activity
PRS5,GO:0016310,phosphorylation
PRS5,GO:0031505,fungal-type cell wall organization
TY1B-DR6,GO:0003723,RNA binding
TY1B-DR6,GO:0003887,DNA-directed DNA polymerase activity
TY1B-DR6,GO:0003964,RNA-directed DNA polymerase activity
TY1B-DR6,GO:0004190,aspartic-type endopeptidase activity
TY1B-DR6,GO:0004523,RNA-DNA hybrid ribonuclease activity
TY1B-DR6,GO:0005634,nucleus
TY1B-DR6,GO:0005737,cytoplasm
TY1B-DR6,GO:0006508,proteolysis
TY1B-DR6,GO:0015074,DNA integration
TY1B-DR6,GO:0032196,transposition
ECM38,GO:0006751,glutathione catabolic process
ECM38,GO:0036374,glutathione hydrolase activity
ECM38,GO:0102953,hypoglycin A gamma-glutamyl transpeptidase activity
ECM38,GO:0103068,leukotriene C4 gamma-glutamyl transferase activity
ATG12,GO:0000045,autophagosome assembly
ATG12,GO:0015031,protein transport
ATG12,GO:0034045,phagophore assembly site membrane
LSC2,GO:0000287,magnesium ion binding
LSC2,GO:0004775,succinate-CoA ligase (ADP-forming) activity
LSC2,GO:0005524,ATP binding
LSC2,GO:0005739,mitochondrion
LSC2,GO:0006099,tricarboxylic acid cycle
PFK1,GO:0003872,6-phosphofructokinase activity
PFK1,GO:0005524,ATP binding
PFK1,GO:0005737,cytoplasm
PFK1,GO:0006002,fructose 6-phosphate metabolic process
PFK1,GO:0046872,metal ion binding
MCM7,GO:0000727,double-strand break repair via break-induced replication
MCM7,GO:0003678,DNA helicase activity
MCM7,GO:0003688,DNA replication origin binding
MCM7,GO:0005524,ATP binding
MCM7,GO:0005656,nuclear pre-replicative complex
MCM7,GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
MCM7,GO:0006268,DNA unwinding involved in DNA replication
MCM7,GO:0006270,DNA replication initiation
MCM7,GO:0016887,ATP hydrolysis activity
MCM7,GO:0030174,regulation of DNA-templated DNA replication initiation
MCM7,GO:0031298,replication fork protection complex
MCM7,GO:0042555,MCM complex
MCM7,GO:0071162,CMG complex
DBP7,GO:0003723,RNA binding
DBP7,GO:0003724,RNA helicase activity
DBP7,GO:0005524,ATP binding
DBP7,GO:0005730,nucleolus
DBP7,GO:0006364,rRNA processing
DBP7,GO:0016787,hydrolase activity
RAD53,GO:0000077,DNA damage checkpoint signaling
RAD53,GO:0003688,DNA replication origin binding
RAD53,GO:0004674,protein serine/threonine kinase activity
RAD53,GO:0004712,protein serine/threonine/tyrosine kinase activity
RAD53,GO:0004713,protein tyrosine kinase activity
RAD53,GO:0005524,ATP binding
RAD53,GO:0005634,nucleus
RAD53,GO:0006270,DNA replication initiation
RAD53,GO:0006281,DNA repair
RAD53,GO:0007049,cell cycle
RAD53,GO:0009202,deoxyribonucleoside triphosphate biosynthetic process
COQ2,GO:0002083,4-hydroxybenzoate decaprenyltransferase activity
COQ2,GO:0005743,mitochondrial inner membrane
COQ2,GO:0006744,ubiquinone biosynthetic process
COQ2,GO:0008299,isoprenoid biosynthetic process
COQ2,GO:0008412,4-hydroxybenzoate octaprenyltransferase activity
COQ2,GO:0047293,4-hydroxybenzoate nonaprenyltransferase activity
MCM6,GO:0000727,double-strand break repair via break-induced replication
MCM6,GO:0003678,DNA helicase activity
MCM6,GO:0003688,DNA replication origin binding
MCM6,GO:0005524,ATP binding
MCM6,GO:0005656,nuclear pre-replicative complex
MCM6,GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
MCM6,GO:0006268,DNA unwinding involved in DNA replication
MCM6,GO:0006270,DNA replication initiation
MCM6,GO:0016887,ATP hydrolysis activity
MCM6,GO:0030174,regulation of DNA-templated DNA replication initiation
MCM6,GO:0031298,replication fork protection complex
MCM6,GO:0042555,MCM complex
MCM6,GO:0071162,CMG complex
TOP1,GO:0003677,DNA binding
TOP1,GO:0003917,"DNA topoisomerase type I (single strand cut, ATP-independent) activity"
TOP1,GO:0005634,nucleus
TOP1,GO:0005694,chromosome
TOP1,GO:0006265,DNA topological change
KU70,GO:0000723,telomere maintenance
KU70,GO:0000781,"chromosome, telomeric region"
KU70,GO:0003678,DNA helicase activity
KU70,GO:0003684,damaged DNA binding
KU70,GO:0005524,ATP binding
KU70,GO:0006303,double-strand break repair via nonhomologous end joining
KU70,GO:0006310,DNA recombination
KU70,GO:0016787,hydrolase activity
KU70,GO:0042162,telomeric DNA binding
KU70,GO:0043564,Ku70:Ku80 complex
COQ5,GO:0006744,ubiquinone biosynthetic process
COQ5,GO:0031314,extrinsic component of mitochondrial inner membrane
COQ5,GO:0032259,methylation
COQ5,GO:0043333,"2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity"
COQ5,GO:0043334,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"
MET7,GO:0004326,tetrahydrofolylpolyglutamate synthase activity
MET7,GO:0005524,ATP binding
MET7,GO:0005743,mitochondrial inner membrane
MET7,GO:0005759,mitochondrial matrix
MET7,GO:0006730,one-carbon metabolic process
MET7,GO:0046872,metal ion binding
PMC1,GO:0005388,P-type calcium transporter activity
PMC1,GO:0005524,ATP binding
PMC1,GO:0016020,membrane
PMC1,GO:0016887,ATP hydrolysis activity
HAS1,GO:0003723,RNA binding
HAS1,GO:0003724,RNA helicase activity
HAS1,GO:0005524,ATP binding
HAS1,GO:0005730,nucleolus
HAS1,GO:0006364,rRNA processing
HAS1,GO:0016787,hydrolase activity
CHO1,GO:0003882,CDP-diacylglycerol-serine O-phosphatidyltransferase activity
CHO1,GO:0005783,endoplasmic reticulum
CHO1,GO:0006646,phosphatidylethanolamine biosynthetic process
CHO1,GO:0006659,phosphatidylserine biosynthetic process
CHO1,GO:0016020,membrane
BAT1,GO:0008652,amino acid biosynthetic process
BAT1,GO:0009082,branched-chain amino acid biosynthetic process
BAT1,GO:0050048,L-leucine:2-oxoglutarate aminotransferase activity
BAT1,GO:0052654,L-leucine transaminase activity
BAT1,GO:0052655,L-valine transaminase activity
BAT1,GO:0052656,L-isoleucine transaminase activity
ATG18,GO:0005774,vacuolar membrane
ATG18,GO:0006914,autophagy
ATG18,GO:0010008,endosome membrane
ATG18,GO:0015031,protein transport
ATG18,GO:0034045,phagophore assembly site membrane
PIM1,GO:0004176,ATP-dependent peptidase activity
PIM1,GO:0004252,serine-type endopeptidase activity
PIM1,GO:0005524,ATP binding
PIM1,GO:0005759,mitochondrial matrix
PIM1,GO:0006515,protein quality control for misfolded or incompletely synthesized proteins
PIM1,GO:0016887,ATP hydrolysis activity
PIM1,GO:0034599,cellular response to oxidative stress
PIM1,GO:0043565,sequence-specific DNA binding
PIM1,GO:0051131,chaperone-mediated protein complex assembly
PIM1,GO:0070407,oxidation-dependent protein catabolic process
ATG16,GO:0006914,autophagy
ATG16,GO:0015031,protein transport
ATG16,GO:0034045,phagophore assembly site membrane
ATG14,GO:0005774,vacuolar membrane
ATG14,GO:0015031,protein transport
ATG14,GO:0016236,macroautophagy
ATG14,GO:0032991,protein-containing complex
ATG14,GO:0034045,phagophore assembly site membrane
MCM3,GO:0000727,double-strand break repair via break-induced replication
MCM3,GO:0003678,DNA helicase activity
MCM3,GO:0003688,DNA replication origin binding
MCM3,GO:0005524,ATP binding
MCM3,GO:0005656,nuclear pre-replicative complex
MCM3,GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
MCM3,GO:0006268,DNA unwinding involved in DNA replication
MCM3,GO:0006270,DNA replication initiation
MCM3,GO:0016887,ATP hydrolysis activity
MCM3,GO:0030174,regulation of DNA-templated DNA replication initiation
MCM3,GO:0031298,replication fork protection complex
MCM3,GO:0042555,MCM complex
MCM3,GO:0071162,CMG complex
ADK1,GO:0004017,adenylate kinase activity
ADK1,GO:0005524,ATP binding
ADK1,GO:0005758,mitochondrial intermembrane space
ADK1,GO:0005829,cytosol
ADK1,GO:0006172,ADP biosynthetic process
ADK1,GO:0016310,phosphorylation
ADK1,GO:0046033,AMP metabolic process
ADK1,GO:0046034,ATP metabolic process
RBK1,GO:0004747,ribokinase activity
RBK1,GO:0005524,ATP binding
RBK1,GO:0005634,nucleus
RBK1,GO:0005737,cytoplasm
RBK1,GO:0019303,D-ribose catabolic process
RBK1,GO:0046872,metal ion binding
PMT1,GO:0004169,dolichyl-phosphate-mannose-protein mannosyltransferase activity
PMT1,GO:0005789,endoplasmic reticulum membrane
QRI7,GO:0002949,tRNA threonylcarbamoyladenosine modification
QRI7,GO:0005739,mitochondrion
QRI7,GO:0006508,proteolysis
QRI7,GO:0008233,peptidase activity
QRI7,GO:0046872,metal ion binding
QRI7,GO:0061711,N(6)-L-threonylcarbamoyladenine synthase activity
GUF1,GO:0003924,GTPase activity
GUF1,GO:0005525,GTP binding
GUF1,GO:0005743,mitochondrial inner membrane
GUF1,GO:0005759,mitochondrial matrix
GUF1,GO:0006412,translation
GUF1,GO:0043022,ribosome binding
GUF1,GO:0045727,positive regulation of translation
DGA1,GO:0004144,diacylglycerol O-acyltransferase activity
DGA1,GO:0005789,endoplasmic reticulum membrane
DGA1,GO:0006071,glycerol metabolic process
DGA1,GO:0019432,triglyceride biosynthetic process
UBA4,GO:0002143,tRNA wobble position uridine thiolation
UBA4,GO:0004792,thiosulfate sulfurtransferase activity
UBA4,GO:0005524,ATP binding
UBA4,GO:0005829,cytosol
UBA4,GO:0008641,ubiquitin-like modifier activating enzyme activity
UBA4,GO:0016779,nucleotidyltransferase activity
UBA4,GO:0032447,protein urmylation
UBA4,GO:0046872,metal ion binding
TGL4,GO:0004806,triglyceride lipase activity
TGL4,GO:0006641,triglyceride metabolic process
TGL4,GO:0016020,membrane
TGL4,GO:0016042,lipid catabolic process
OPI3,GO:0000773,phosphatidyl-N-methylethanolamine N-methyltransferase activity
OPI3,GO:0005789,endoplasmic reticulum membrane
OPI3,GO:0006656,phosphatidylcholine biosynthetic process
OPI3,GO:0031966,mitochondrial membrane
OPI3,GO:0032259,methylation
OPI3,GO:0080101,phosphatidyl-N-dimethylethanolamine N-methyltransferase activity
ADK2,GO:0004017,adenylate kinase activity
ADK2,GO:0005524,ATP binding
ADK2,GO:0005525,GTP binding
ADK2,GO:0005759,mitochondrial matrix
ADK2,GO:0006172,ADP biosynthetic process
ADK2,GO:0016310,phosphorylation
ADK2,GO:0046033,AMP metabolic process
ADK2,GO:0046039,GTP metabolic process
ADK2,GO:0046041,ITP metabolic process
ADK2,GO:0046899,nucleoside triphosphate adenylate kinase activity
ROK1,GO:0003676,nucleic acid binding
ROK1,GO:0003724,RNA helicase activity
ROK1,GO:0005524,ATP binding
ROK1,GO:0005730,nucleolus
ROK1,GO:0016787,hydrolase activity
ROK1,GO:0030490,maturation of SSU-rRNA
ILV2,GO:0000287,magnesium ion binding
ILV2,GO:0003984,acetolactate synthase activity
ILV2,GO:0009097,isoleucine biosynthetic process
ILV2,GO:0009099,valine biosynthetic process
ILV2,GO:0030976,thiamine pyrophosphate binding
ILV2,GO:0050660,flavin adenine dinucleotide binding
ugcg-b,GO:0006665,sphingolipid metabolic process
ugcg-b,GO:0008120,ceramide glucosyltransferase activity
ugcg-b,GO:0016020,membrane
ugcg-b,GO:0102769,dihydroceramide glucosyltransferase activity
NTG1,GO:0000703,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
NTG1,GO:0003677,DNA binding
NTG1,GO:0005634,nucleus
NTG1,GO:0005739,mitochondrion
NTG1,GO:0006285,"base-excision repair, AP site formation"
NTG1,GO:0046872,metal ion binding
NTG1,GO:0051539,"4 iron, 4 sulfur cluster binding"
NTG1,GO:0140078,class I DNA-(apurinic or apyrimidinic site) endonuclease activity
GET3,GO:0005524,ATP binding
GET3,GO:0005783,endoplasmic reticulum
GET3,GO:0005794,Golgi apparatus
GET3,GO:0016887,ATP hydrolysis activity
GET3,GO:0045048,protein insertion into ER membrane
GET3,GO:0046872,metal ion binding
HIS7,GO:0000105,histidine biosynthetic process
HIS7,GO:0000107,imidazoleglycerol-phosphate synthase activity
HIS7,GO:0004359,glutaminase activity
HIS7,GO:0006541,glutamine metabolic process
HIS7,GO:0016833,oxo-acid-lyase activity
SCS7,GO:0005506,iron ion binding
SCS7,GO:0005789,endoplasmic reticulum membrane
SCS7,GO:0006633,fatty acid biosynthetic process
SCS7,GO:0020037,heme binding
SCS7,GO:0080132,fatty acid alpha-hydroxylase activity
MEU1,GO:0005634,nucleus
MEU1,GO:0005737,cytoplasm
MEU1,GO:0006166,purine ribonucleoside salvage
MEU1,GO:0017061,S-methyl-5-thioadenosine phosphorylase activity
MEU1,GO:0019509,L-methionine salvage from methylthioadenosine
