Gene_names,GO_terms,GO_names
KLMA_40473,GO:0000407,phagophore assembly site
KLMA_40473,GO:0015031,protein transport
KLMA_40473,GO:1990316,Atg1/ULK1 kinase complex
KLMA_20751,GO:0004609,phosphatidylserine decarboxylase activity
KLMA_20751,GO:0005743,mitochondrial inner membrane
KLMA_20751,GO:0006646,phosphatidylethanolamine biosynthetic process
KLMA_20751,GO:0016540,protein autoprocessing
KLMA_50173,GO:0000002,mitochondrial genome maintenance
KLMA_50173,GO:0000723,telomere maintenance
KLMA_50173,GO:0005524,ATP binding
KLMA_50173,GO:0005634,nucleus
KLMA_50173,GO:0005739,mitochondrion
KLMA_50173,GO:0006281,DNA repair
KLMA_50173,GO:0006310,DNA recombination
KLMA_50173,GO:0010521,telomerase inhibitor activity
KLMA_50173,GO:0016887,ATP hydrolysis activity
KLMA_50173,GO:0032211,negative regulation of telomere maintenance via telomerase
KLMA_50173,GO:0043139,5'-3' DNA helicase activity
KLMA_50173,GO:0051880,G-quadruplex DNA binding
KLMA_30194,GO:0000139,Golgi membrane
KLMA_30194,GO:0004609,phosphatidylserine decarboxylase activity
KLMA_30194,GO:0005795,Golgi stack
KLMA_30194,GO:0006646,phosphatidylethanolamine biosynthetic process
KLMA_30194,GO:0010008,endosome membrane
KLMA_30194,GO:0016540,protein autoprocessing
KLMA_50615,GO:0000407,phagophore assembly site
KLMA_50615,GO:0005634,nucleus
KLMA_50615,GO:0006508,proteolysis
KLMA_50615,GO:0006914,autophagy
KLMA_50615,GO:0015031,protein transport
KLMA_50615,GO:0019786,Atg8-specific peptidase activity
KLMA_80409,GO:0006914,autophagy
KLMA_80409,GO:0015031,protein transport
KLMA_80409,GO:0019787,ubiquitin-like protein transferase activity
KLMA_80409,GO:0034045,phagophore assembly site membrane
KLMA_80372,GO:0000421,autophagosome membrane
KLMA_80372,GO:0006914,autophagy
KLMA_80372,GO:0015031,protein transport
KLMA_80372,GO:0033110,Cvt vesicle membrane
KLMA_70236,GO:0000139,Golgi membrane
KLMA_70236,GO:0005789,endoplasmic reticulum membrane
KLMA_70236,GO:0006869,lipid transport
KLMA_70236,GO:0006914,autophagy
KLMA_70236,GO:0030659,cytoplasmic vesicle membrane
KLMA_70236,GO:0034045,phagophore assembly site membrane
KLMA_10065,GO:0000105,histidine biosynthetic process
KLMA_10065,GO:0004399,histidinol dehydrogenase activity
KLMA_10065,GO:0004635,phosphoribosyl-AMP cyclohydrolase activity
KLMA_10065,GO:0004636,phosphoribosyl-ATP diphosphatase activity
KLMA_10065,GO:0005524,ATP binding
KLMA_10065,GO:0046872,metal ion binding
KLMA_10065,GO:0051287,NAD binding
KLMA_10125,GO:0006744,ubiquinone biosynthetic process
KLMA_10125,GO:0008681,2-octaprenyl-6-methoxyphenol hydroxylase activity
KLMA_10125,GO:0016709,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"
KLMA_10125,GO:0031314,extrinsic component of mitochondrial inner membrane
KLMA_10125,GO:0071949,FAD binding
KLMA_10125,GO:0106364,4-hydroxy-3-all-trans-hexaprenylbenzoate oxygenase activity
KLMA_10253,GO:0004736,pyruvate carboxylase activity
KLMA_10253,GO:0005524,ATP binding
KLMA_10253,GO:0005737,cytoplasm
KLMA_10253,GO:0006090,pyruvate metabolic process
KLMA_10253,GO:0006094,gluconeogenesis
KLMA_10253,GO:0046872,metal ion binding
KLMA_10525,GO:0000407,phagophore assembly site
KLMA_10525,GO:0006914,autophagy
KLMA_10525,GO:0015031,protein transport
KLMA_10328,GO:0003677,DNA binding
KLMA_10328,GO:0005524,ATP binding
KLMA_10328,GO:0005634,nucleus
KLMA_10328,GO:0005694,chromosome
KLMA_10328,GO:0006281,DNA repair
KLMA_10328,GO:0016887,ATP hydrolysis activity
KLMA_10328,GO:0017108,5'-flap endonuclease activity
KLMA_10328,GO:0017116,single-stranded DNA helicase activity
KLMA_10328,GO:0033567,"DNA replication, Okazaki fragment processing"
KLMA_10328,GO:0046872,metal ion binding
KLMA_10328,GO:0051539,"4 iron, 4 sulfur cluster binding"
KLMA_10001,GO:0003723,RNA binding
KLMA_10001,GO:0003887,DNA-directed DNA polymerase activity
KLMA_10001,GO:0003964,RNA-directed DNA polymerase activity
KLMA_10001,GO:0004523,RNA-DNA hybrid ribonuclease activity
KLMA_10001,GO:0005634,nucleus
KLMA_10001,GO:0005737,cytoplasm
KLMA_10001,GO:0015074,DNA integration
KLMA_10001,GO:0032196,transposition
KLMA_10031,GO:0000453,obsolete enzyme-directed rRNA 2'-O-methylation
KLMA_10031,GO:0005730,nucleolus
KLMA_10031,GO:0008650,rRNA (uridine-2'-O-)-methyltransferase activity
KLMA_10031,GO:0030687,"preribosome, large subunit precursor"
KLMA_10031,GO:0070039,rRNA (guanosine-2'-O-)-methyltransferase activity
KLMA_10595,GO:0000054,ribosomal subunit export from nucleus
KLMA_10595,GO:0003743,translation initiation factor activity
KLMA_10595,GO:0005730,nucleolus
KLMA_10595,GO:0005737,cytoplasm
KLMA_10595,GO:0042256,cytosolic ribosome assembly
KLMA_10595,GO:0042273,ribosomal large subunit biogenesis
KLMA_10595,GO:0043022,ribosome binding
KLMA_10595,GO:0043023,ribosomal large subunit binding
KLMA_10625,GO:0000422,autophagy of mitochondrion
KLMA_10625,GO:0015031,protein transport
KLMA_10625,GO:0034045,phagophore assembly site membrane
KLMA_10091,GO:0005975,carbohydrate metabolic process
KLMA_10091,GO:0016020,membrane
KLMA_10091,GO:0016126,sterol biosynthetic process
KLMA_10091,GO:0016906,sterol 3-beta-glucosyltransferase activity
KLMA_10091,GO:0030259,lipid glycosylation
KLMA_10091,GO:0102202,soladodine glucosyltransferase activity
KLMA_10091,GO:0102203,brassicasterol glucosyltransferase activity
KLMA_10091,GO:0102205,cholesterol alpha-glucosyltransferase activity
KLMA_10468,GO:0004616,phosphogluconate dehydrogenase (decarboxylating) activity
KLMA_10468,GO:0006098,pentose-phosphate shunt
KLMA_10468,GO:0019521,D-gluconate metabolic process
KLMA_10468,GO:0050661,NADP binding
KLMA_10126,GO:0003848,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
KLMA_10126,GO:0004150,dihydroneopterin aldolase activity
KLMA_10126,GO:0004156,dihydropteroate synthase activity
KLMA_10126,GO:0005524,ATP binding
KLMA_10126,GO:0016301,kinase activity
KLMA_10126,GO:0016310,phosphorylation
KLMA_10126,GO:0046654,tetrahydrofolate biosynthetic process
KLMA_10126,GO:0046656,folic acid biosynthetic process
KLMA_10126,GO:0046872,metal ion binding
KLMA_10493,GO:0004040,amidase activity
KLMA_10493,GO:0005524,ATP binding
KLMA_10493,GO:0005739,mitochondrion
KLMA_10493,GO:0016740,transferase activity
KLMA_10493,GO:0030956,glutamyl-tRNA(Gln) amidotransferase complex
KLMA_10493,GO:0032543,mitochondrial translation
KLMA_10493,GO:0043864,indoleacetamide hydrolase activity
KLMA_10493,GO:0050567,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
KLMA_10493,GO:0070681,glutaminyl-tRNAGln biosynthesis via transamidation
KLMA_10705,GO:0000287,magnesium ion binding
KLMA_10705,GO:0005634,nucleus
KLMA_10705,GO:0005737,cytoplasm
KLMA_10705,GO:0019284,L-methionine salvage from S-adenosylmethionine
KLMA_10705,GO:0019509,L-methionine salvage from methylthioadenosine
KLMA_10705,GO:0043715,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity"
KLMA_10705,GO:0043716,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity
KLMA_10705,GO:0043874,acireductone synthase activity
KLMA_10176,GO:0000287,magnesium ion binding
KLMA_10176,GO:0002189,ribose phosphate diphosphokinase complex
KLMA_10176,GO:0004749,ribose phosphate diphosphokinase activity
KLMA_10176,GO:0005524,ATP binding
KLMA_10176,GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process
KLMA_10176,GO:0009156,ribonucleoside monophosphate biosynthetic process
KLMA_10176,GO:0009165,nucleotide biosynthetic process
KLMA_10176,GO:0016301,kinase activity
KLMA_10176,GO:0016310,phosphorylation
KLMA_10176,GO:0031505,fungal-type cell wall organization
KLMA_10760,GO:0003723,RNA binding
KLMA_10760,GO:0003887,DNA-directed DNA polymerase activity
KLMA_10760,GO:0003964,RNA-directed DNA polymerase activity
KLMA_10760,GO:0004190,aspartic-type endopeptidase activity
KLMA_10760,GO:0004523,RNA-DNA hybrid ribonuclease activity
KLMA_10760,GO:0005634,nucleus
KLMA_10760,GO:0005737,cytoplasm
KLMA_10760,GO:0006508,proteolysis
KLMA_10760,GO:0015074,DNA integration
KLMA_10760,GO:0032196,transposition
KLMA_20185,GO:0003723,RNA binding
KLMA_20185,GO:0003887,DNA-directed DNA polymerase activity
KLMA_20185,GO:0003964,RNA-directed DNA polymerase activity
KLMA_20185,GO:0004190,aspartic-type endopeptidase activity
KLMA_20185,GO:0004523,RNA-DNA hybrid ribonuclease activity
KLMA_20185,GO:0005634,nucleus
KLMA_20185,GO:0005737,cytoplasm
KLMA_20185,GO:0006508,proteolysis
KLMA_20185,GO:0015074,DNA integration
KLMA_20185,GO:0032196,transposition
KLMA_10231,GO:0006751,glutathione catabolic process
KLMA_10231,GO:0036374,glutathione hydrolase activity
KLMA_10231,GO:0102953,hypoglycin A gamma-glutamyl transpeptidase activity
KLMA_10231,GO:0103068,leukotriene C4 gamma-glutamyl transferase activity
KLMA_10251,GO:0000045,autophagosome assembly
KLMA_10251,GO:0015031,protein transport
KLMA_10251,GO:0034045,phagophore assembly site membrane
KLMA_10336,GO:0000287,magnesium ion binding
KLMA_10336,GO:0004775,succinate-CoA ligase (ADP-forming) activity
KLMA_10336,GO:0005524,ATP binding
KLMA_10336,GO:0005739,mitochondrion
KLMA_10336,GO:0006099,tricarboxylic acid cycle
KLMA_10341,GO:0003872,6-phosphofructokinase activity
KLMA_10341,GO:0005524,ATP binding
KLMA_10341,GO:0005737,cytoplasm
KLMA_10341,GO:0006002,fructose 6-phosphate metabolic process
KLMA_10341,GO:0046872,metal ion binding
KLMA_10748,GO:0000727,double-strand break repair via break-induced replication
KLMA_10748,GO:0003678,DNA helicase activity
KLMA_10748,GO:0003688,DNA replication origin binding
KLMA_10748,GO:0005524,ATP binding
KLMA_10748,GO:0005656,nuclear pre-replicative complex
KLMA_10748,GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KLMA_10748,GO:0006268,DNA unwinding involved in DNA replication
KLMA_10748,GO:0006270,DNA replication initiation
KLMA_10748,GO:0016887,ATP hydrolysis activity
KLMA_10748,GO:0030174,regulation of DNA-templated DNA replication initiation
KLMA_10748,GO:0031298,replication fork protection complex
KLMA_10748,GO:0042555,MCM complex
KLMA_10748,GO:0071162,CMG complex
KLMA_20139,GO:0003723,RNA binding
KLMA_20139,GO:0003724,RNA helicase activity
KLMA_20139,GO:0005524,ATP binding
KLMA_20139,GO:0005730,nucleolus
KLMA_20139,GO:0006364,rRNA processing
KLMA_20139,GO:0016787,hydrolase activity
KLMA_20209,GO:0000077,DNA damage checkpoint signaling
KLMA_20209,GO:0003688,DNA replication origin binding
KLMA_20209,GO:0004674,protein serine/threonine kinase activity
KLMA_20209,GO:0004712,protein serine/threonine/tyrosine kinase activity
KLMA_20209,GO:0004713,protein tyrosine kinase activity
KLMA_20209,GO:0005524,ATP binding
KLMA_20209,GO:0005634,nucleus
KLMA_20209,GO:0006270,DNA replication initiation
KLMA_20209,GO:0006281,DNA repair
KLMA_20209,GO:0007049,cell cycle
KLMA_20209,GO:0009202,deoxyribonucleoside triphosphate biosynthetic process
KLMA_20244,GO:0002083,4-hydroxybenzoate decaprenyltransferase activity
KLMA_20244,GO:0005743,mitochondrial inner membrane
KLMA_20244,GO:0006744,ubiquinone biosynthetic process
KLMA_20244,GO:0008299,isoprenoid biosynthetic process
KLMA_20244,GO:0008412,4-hydroxybenzoate octaprenyltransferase activity
KLMA_20244,GO:0047293,4-hydroxybenzoate nonaprenyltransferase activity
KLMA_20254,GO:0000727,double-strand break repair via break-induced replication
KLMA_20254,GO:0003678,DNA helicase activity
KLMA_20254,GO:0003688,DNA replication origin binding
KLMA_20254,GO:0005524,ATP binding
KLMA_20254,GO:0005656,nuclear pre-replicative complex
KLMA_20254,GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KLMA_20254,GO:0006268,DNA unwinding involved in DNA replication
KLMA_20254,GO:0006270,DNA replication initiation
KLMA_20254,GO:0016887,ATP hydrolysis activity
KLMA_20254,GO:0030174,regulation of DNA-templated DNA replication initiation
KLMA_20254,GO:0031298,replication fork protection complex
KLMA_20254,GO:0042555,MCM complex
KLMA_20254,GO:0071162,CMG complex
KLMA_10269,GO:0003677,DNA binding
KLMA_10269,GO:0003917,"DNA topoisomerase type I (single strand cut, ATP-independent) activity"
KLMA_10269,GO:0005634,nucleus
KLMA_10269,GO:0005694,chromosome
KLMA_10269,GO:0006265,DNA topological change
KLMA_10274,GO:0000723,telomere maintenance
KLMA_10274,GO:0000781,"chromosome, telomeric region"
KLMA_10274,GO:0003678,DNA helicase activity
KLMA_10274,GO:0003684,damaged DNA binding
KLMA_10274,GO:0005524,ATP binding
KLMA_10274,GO:0006303,double-strand break repair via nonhomologous end joining
KLMA_10274,GO:0006310,DNA recombination
KLMA_10274,GO:0016787,hydrolase activity
KLMA_10274,GO:0042162,telomeric DNA binding
KLMA_10274,GO:0043564,Ku70:Ku80 complex
KLMA_10581,GO:0006744,ubiquinone biosynthetic process
KLMA_10581,GO:0031314,extrinsic component of mitochondrial inner membrane
KLMA_10581,GO:0032259,methylation
KLMA_10581,GO:0043333,"2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity"
KLMA_10581,GO:0043334,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"
KLMA_20202,GO:0004326,tetrahydrofolylpolyglutamate synthase activity
KLMA_20202,GO:0005524,ATP binding
KLMA_20202,GO:0005743,mitochondrial inner membrane
KLMA_20202,GO:0005759,mitochondrial matrix
KLMA_20202,GO:0006730,one-carbon metabolic process
KLMA_20202,GO:0046872,metal ion binding
KLMA_10454,GO:0005388,P-type calcium transporter activity
KLMA_10454,GO:0005524,ATP binding
KLMA_10454,GO:0016020,membrane
KLMA_10454,GO:0016887,ATP hydrolysis activity
KLMA_10484,GO:0003723,RNA binding
KLMA_10484,GO:0003724,RNA helicase activity
KLMA_10484,GO:0005524,ATP binding
KLMA_10484,GO:0005730,nucleolus
KLMA_10484,GO:0006364,rRNA processing
KLMA_10484,GO:0016787,hydrolase activity
KLMA_20262,GO:0003882,CDP-diacylglycerol-serine O-phosphatidyltransferase activity
KLMA_20262,GO:0005783,endoplasmic reticulum
KLMA_20262,GO:0006646,phosphatidylethanolamine biosynthetic process
KLMA_20262,GO:0006659,phosphatidylserine biosynthetic process
KLMA_20262,GO:0016020,membrane
KLMA_10514,GO:0008652,amino acid biosynthetic process
KLMA_10514,GO:0009082,branched-chain amino acid biosynthetic process
KLMA_10514,GO:0050048,L-leucine:2-oxoglutarate aminotransferase activity
KLMA_10514,GO:0052654,L-leucine transaminase activity
KLMA_10514,GO:0052655,L-valine transaminase activity
KLMA_10514,GO:0052656,L-isoleucine transaminase activity
KLMA_20474,GO:0005774,vacuolar membrane
KLMA_20474,GO:0006914,autophagy
KLMA_20474,GO:0010008,endosome membrane
KLMA_20474,GO:0015031,protein transport
KLMA_20474,GO:0034045,phagophore assembly site membrane
KLMA_20035,GO:0004176,ATP-dependent peptidase activity
KLMA_20035,GO:0004252,serine-type endopeptidase activity
KLMA_20035,GO:0005524,ATP binding
KLMA_20035,GO:0005759,mitochondrial matrix
KLMA_20035,GO:0006515,protein quality control for misfolded or incompletely synthesized proteins
KLMA_20035,GO:0016887,ATP hydrolysis activity
KLMA_20035,GO:0034599,cellular response to oxidative stress
KLMA_20035,GO:0043565,sequence-specific DNA binding
KLMA_20035,GO:0051131,chaperone-mediated protein complex assembly
KLMA_20035,GO:0070407,oxidation-dependent protein catabolic process
KLMA_20649,GO:0006914,autophagy
KLMA_20649,GO:0015031,protein transport
KLMA_20649,GO:0034045,phagophore assembly site membrane
KLMA_20709,GO:0005774,vacuolar membrane
KLMA_20709,GO:0015031,protein transport
KLMA_20709,GO:0016236,macroautophagy
KLMA_20709,GO:0032991,protein-containing complex
KLMA_20709,GO:0034045,phagophore assembly site membrane
KLMA_10709,GO:0000727,double-strand break repair via break-induced replication
KLMA_10709,GO:0003678,DNA helicase activity
KLMA_10709,GO:0003688,DNA replication origin binding
KLMA_10709,GO:0005524,ATP binding
KLMA_10709,GO:0005656,nuclear pre-replicative complex
KLMA_10709,GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication
KLMA_10709,GO:0006268,DNA unwinding involved in DNA replication
KLMA_10709,GO:0006270,DNA replication initiation
KLMA_10709,GO:0016887,ATP hydrolysis activity
KLMA_10709,GO:0030174,regulation of DNA-templated DNA replication initiation
KLMA_10709,GO:0031298,replication fork protection complex
KLMA_10709,GO:0042555,MCM complex
KLMA_10709,GO:0071162,CMG complex
KLMA_20165,GO:0004017,adenylate kinase activity
KLMA_20165,GO:0005524,ATP binding
KLMA_20165,GO:0005758,mitochondrial intermembrane space
KLMA_20165,GO:0005829,cytosol
KLMA_20165,GO:0006172,ADP biosynthetic process
KLMA_20165,GO:0016310,phosphorylation
KLMA_20165,GO:0046033,AMP metabolic process
KLMA_20165,GO:0046034,ATP metabolic process
KLMA_10157,GO:0004747,ribokinase activity
KLMA_10157,GO:0005524,ATP binding
KLMA_10157,GO:0005634,nucleus
KLMA_10157,GO:0005737,cytoplasm
KLMA_10157,GO:0019303,D-ribose catabolic process
KLMA_10157,GO:0046872,metal ion binding
KLMA_20657,GO:0004169,dolichyl-phosphate-mannose-protein mannosyltransferase activity
KLMA_20657,GO:0005789,endoplasmic reticulum membrane
KLMA_20677,GO:0002949,tRNA threonylcarbamoyladenosine modification
KLMA_20677,GO:0005739,mitochondrion
KLMA_20677,GO:0006508,proteolysis
KLMA_20677,GO:0008233,peptidase activity
KLMA_20677,GO:0046872,metal ion binding
KLMA_20677,GO:0061711,N(6)-L-threonylcarbamoyladenine synthase activity
KLMA_10222,GO:0003924,GTPase activity
KLMA_10222,GO:0005525,GTP binding
KLMA_10222,GO:0005743,mitochondrial inner membrane
KLMA_10222,GO:0005759,mitochondrial matrix
KLMA_10222,GO:0006412,translation
KLMA_10222,GO:0043022,ribosome binding
KLMA_10222,GO:0045727,positive regulation of translation
KLMA_20208,GO:0004144,diacylglycerol O-acyltransferase activity
KLMA_20208,GO:0005789,endoplasmic reticulum membrane
KLMA_20208,GO:0006071,glycerol metabolic process
KLMA_20208,GO:0019432,triglyceride biosynthetic process
KLMA_20445,GO:0002143,tRNA wobble position uridine thiolation
KLMA_20445,GO:0004792,thiosulfate sulfurtransferase activity
KLMA_20445,GO:0005524,ATP binding
KLMA_20445,GO:0005829,cytosol
KLMA_20445,GO:0008641,ubiquitin-like modifier activating enzyme activity
KLMA_20445,GO:0016779,nucleotidyltransferase activity
KLMA_20445,GO:0032447,protein urmylation
KLMA_20445,GO:0046872,metal ion binding
KLMA_10402,GO:0004806,triglyceride lipase activity
KLMA_10402,GO:0006641,triglyceride metabolic process
KLMA_10402,GO:0016020,membrane
KLMA_10402,GO:0016042,lipid catabolic process
KLMA_30035,GO:0000773,phosphatidyl-N-methylethanolamine N-methyltransferase activity
KLMA_30035,GO:0005789,endoplasmic reticulum membrane
KLMA_30035,GO:0006656,phosphatidylcholine biosynthetic process
KLMA_30035,GO:0031966,mitochondrial membrane
KLMA_30035,GO:0032259,methylation
KLMA_30035,GO:0080101,phosphatidyl-N-dimethylethanolamine N-methyltransferase activity
KLMA_30292,GO:0004017,adenylate kinase activity
KLMA_30292,GO:0005524,ATP binding
KLMA_30292,GO:0005525,GTP binding
KLMA_30292,GO:0005759,mitochondrial matrix
KLMA_30292,GO:0006172,ADP biosynthetic process
KLMA_30292,GO:0016310,phosphorylation
KLMA_30292,GO:0046033,AMP metabolic process
KLMA_30292,GO:0046039,GTP metabolic process
KLMA_30292,GO:0046041,ITP metabolic process
KLMA_30292,GO:0046899,nucleoside triphosphate adenylate kinase activity
KLMA_30307,GO:0003676,nucleic acid binding
KLMA_30307,GO:0003724,RNA helicase activity
KLMA_30307,GO:0005524,ATP binding
KLMA_30307,GO:0005730,nucleolus
KLMA_30307,GO:0016787,hydrolase activity
KLMA_30307,GO:0030490,maturation of SSU-rRNA
KLMA_30105,GO:0000287,magnesium ion binding
KLMA_30105,GO:0003984,acetolactate synthase activity
KLMA_30105,GO:0009097,isoleucine biosynthetic process
KLMA_30105,GO:0009099,valine biosynthetic process
KLMA_30105,GO:0030976,thiamine pyrophosphate binding
KLMA_30105,GO:0050660,flavin adenine dinucleotide binding
KLMA_20600,GO:0006665,sphingolipid metabolic process
KLMA_20600,GO:0008120,ceramide glucosyltransferase activity
KLMA_20600,GO:0016020,membrane
KLMA_20600,GO:0102769,dihydroceramide glucosyltransferase activity
KLMA_30357,GO:0005789,endoplasmic reticulum membrane
KLMA_30357,GO:0030497,fatty acid elongation
KLMA_30357,GO:0045703,ketoreductase activity
KLMA_30357,GO:0102339,3-oxo-arachidoyl-CoA reductase activity
KLMA_30357,GO:0102340,3-oxo-behenoyl-CoA reductase activity
KLMA_30357,GO:0102341,3-oxo-lignoceroyl-CoA reductase activity
KLMA_30357,GO:0102342,3-oxo-cerotoyl-CoA reductase activity
KLMA_20363,GO:0000703,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
KLMA_20363,GO:0003677,DNA binding
KLMA_20363,GO:0005634,nucleus
KLMA_20363,GO:0005739,mitochondrion
KLMA_20363,GO:0006285,"base-excision repair, AP site formation"
KLMA_20363,GO:0046872,metal ion binding
KLMA_20363,GO:0051539,"4 iron, 4 sulfur cluster binding"
KLMA_20363,GO:0140078,class I DNA-(apurinic or apyrimidinic site) endonuclease activity
KLMA_20650,GO:0005524,ATP binding
KLMA_20650,GO:0005783,endoplasmic reticulum
KLMA_20650,GO:0005794,Golgi apparatus
KLMA_20650,GO:0016887,ATP hydrolysis activity
KLMA_20650,GO:0045048,protein insertion into ER membrane
KLMA_20650,GO:0046872,metal ion binding
KLMA_20413,GO:0000105,histidine biosynthetic process
KLMA_20413,GO:0000107,imidazoleglycerol-phosphate synthase activity
KLMA_20413,GO:0004359,glutaminase activity
KLMA_20413,GO:0006541,glutamine metabolic process
KLMA_20413,GO:0016833,oxo-acid-lyase activity
KLMA_10577,GO:0005506,iron ion binding
KLMA_10577,GO:0005789,endoplasmic reticulum membrane
KLMA_10577,GO:0006633,fatty acid biosynthetic process
KLMA_10577,GO:0020037,heme binding
KLMA_10577,GO:0080132,fatty acid alpha-hydroxylase activity
KLMA_30225,GO:0005634,nucleus
KLMA_30225,GO:0005737,cytoplasm
KLMA_30225,GO:0006166,purine ribonucleoside salvage
KLMA_30225,GO:0017061,S-methyl-5-thioadenosine phosphorylase activity
KLMA_30225,GO:0019509,L-methionine salvage from methylthioadenosine
KLMA_20725,GO:0003958,NADPH-hemoprotein reductase activity
KLMA_20725,GO:0005741,mitochondrial outer membrane
KLMA_20725,GO:0005789,endoplasmic reticulum membrane
KLMA_20725,GO:0005886,plasma membrane
KLMA_20725,GO:0006696,ergosterol biosynthetic process
KLMA_20725,GO:0010181,FMN binding
KLMA_20725,GO:0050660,flavin adenine dinucleotide binding
KLMA_20725,GO:0050661,NADP binding
KLMA_20568,GO:0000166,nucleotide binding
KLMA_20568,GO:0004775,succinate-CoA ligase (ADP-forming) activity
KLMA_20568,GO:0005739,mitochondrion
KLMA_20568,GO:0006099,tricarboxylic acid cycle
KLMA_30552,GO:0001732,formation of cytoplasmic translation initiation complex
KLMA_30552,GO:0003723,RNA binding
KLMA_30552,GO:0003743,translation initiation factor activity
KLMA_30552,GO:0005852,eukaryotic translation initiation factor 3 complex
KLMA_30552,GO:0016282,eukaryotic 43S preinitiation complex
KLMA_30552,GO:0033290,eukaryotic 48S preinitiation complex
